tokens,ner_tags
"[['RT', '@AskAnshul', ':', 'look', 'Audience', 'applauds', 'when', 'Pak', 'call', 'Hindu', 'Kutta', 'n', '@SitaramYechury', 'sees', 'nothing', 'wrong', 'in', 'chanting', 'Pakistan', 'Zindabad', 'URL', ': ']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PLACE', 'O', 'O', 'O']]"
"[['*', 'Kohli', 'and', 'Dhawan', 'crying', '*', 'Dhoni', ':', 'Kya', 'hua', ' ? ', 'Kohli', ':', 'Yaar', 'we', 'just', 'asked', ""Raina's"", 'saalis', 'to', 'return', 'shoes', '.', 'They', 'said', '#WontGiveItBack']]","[['O', 'B-PERSON', 'O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['@Muzammalafzal', 'Pardesiaa', 'eid', 'ty', 'jaa', 'ryan', 'ghar', ' ? ? ', '@NabeelFaryal']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['Aaj', 'hi', 'school', 'khula', 'aur', 'shahjade', 'saab', 'gayab', '.', 'bhai', 'gazab', 'student', 'hai', '.', '#RahulOnLeave']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['@Ashishtics', 'tou', 'mein', 'kounsa', 'uspenfilm', 'banane', 'wala', 'hu', '@Obnoxious Ravan']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@arshi yasin', ':', 'These', 'are', 'not', 'dead', 'bodies', ',', 'they', 'are', 'our', 'living', 'farmers', '.', 'These', 'are', 'farmers', 'protesting', 'at', 'Nashik', ',', 'Maharashtra', '.', 'URL']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PLACE', 'O', 'B-PLACE', 'O', 'O']]"
"[['#WhereIsRahul', 'trending', '@1', 'Rahul Accha', 'ji', 'aaj', 'meri', 'badi', 'yaad', 'aa', 'rahi', 'hai', '.', 'Election', 'k', 'time', 'to', 'Rahul', 'ne', 'khayi', 'CandyBar', 'abki', 'baar', 'ModiSarkar', '.']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-ORGANISATION', 'O']]"
"[['@P2makodo', 'btw', 'ye', 'aunty', 'kon', 'hai', ' ? ']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['Teacher', ':', 'Pakistan', 'will', 'win', '15th', 'Feb', 'match', '.', 'Which', 'tense', 'it', 'is', ' ? ', 'Pakistani', 'Child', ':', 'Future', 'Impossible', 'Tense', '#IndWins', '#RIPEnglish', '#Indians']]","[['O', 'O', 'B-PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['#RahulOnLeave', 'he', 'is', 'preparing', 'for', '2019', '.', 'leher', 'ke', 'baad', 'bunda', 'bandi', 'Apki', 'baar', 'Rahul', 'gandhi', '.', 'ws', 'modiji', 'ki', 'man', 'ki', 'baat', 'samajh', 'lega', 'bina', 'bole', '.']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['now', 'we', 'can', 'say', 'strong', '.', '#WontGiveItBack', 'ab', 'bi', 'nahi', 'phodenke', 'yaar', '.', '#IndvsPak', '#CWC15', '@ICC']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['@Gurmeetramrahim', 'thank', 'u', 'sweet', 'sweet', 'papa', 'ji']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['@aditiraohydari', '@NimratOfficial', 'happy', 'bday', 'nimrat', 'kaur']]","[['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON']]"
"[[""I'm"", 'at', 'Sultanahmet', '(', 'Istanbul', ',', 'Trkiye', ') ', 'w ', '18', 'others', ' ', 'pic', ' :', 'URL']]","[['O', 'O', 'B-PLACE', 'O', 'B-PLACE', 'O', 'B-PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['#5SaalKejriwal', '.', 'Even', 'Pakistanis', 'r', 'Celebrating', 'AK49', '.', 'HaHaHa', '.', 'Ye', 'bhi', 'Mile', 'Hue', 'Hai', 'Ji', '.', '#DelhiDecides', 'URL']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['Uska', 'dimple', 'Mere', 'header', 'ko', 'khoobsurat', 'karaha']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@ggiittiikkaa', ':', 'Ab', 'toh', 'Mark', 'Zuckerberg', 'bhi', 'Jaahil', 'Sanghi', 'Bigot', 'Troll', 'ho', 'gaya', '.', 'Koi', 'aisa', 'karta', 'hai', 'bhalaa', ' ? ', '#BurnolLagaoLibtardsBachao', 'htt']]","[['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@DOCTORATLARGE', ':', 'Reason', 'I', 'hate', 'Kejriwal', 'the', 'most', ':', 'Other', 'politicians', 'are', 'devils', 'pretending', 'to', 'be', 'people', ',', 'while', 'Kejriwal', 'is', 'a', 'devil', 'pretend']]","[['O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O']]"
"[['Kabi', 'Sath', 'Deny', 'K', 'Waday', ',', 'Kabi', 'Bhool', 'Jane', 'Ki', 'Qasmain', '.!', ':', ':', 'Mujhe', 'Aj', 'Tak', 'Pta', 'Na', 'Chala', ',', 'K', 'Tum', 'Majbur', 'Ho', ' ? ', 'Ya', 'Magrur', '.', "":') ""]]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['@iamlakshmirai', 'ohmm', 'namashivaya', '#MahaShivratri', 'wishes', ':(', 'sister']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['Kejriwal', 'and', 'Sisodia', 'to', 'join', 'Anna', 'for', 'Dharna', '.', 'February', 'to', 'khatam', 'hone', 'dete', 'mere', 'bhai', '.', '#AnnaReturns', '#RahulOnLeave']]","[['B-PERSON', 'O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['#Mahashivratri', 'Radiant', 'Shakti', ' ', 'Tripura', 'Sundari', 'Goddess', 'of', '#Awakening', 'via', '@saileshvora55', 'URL']]","[['O', 'O', 'O', 'O', 'B-PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['#INDvsPAK', '#Afridi', 'Afridi', ':', 'out', 'ni', 'hue', 'hmm', ',', 'sheed', 'hue', 'hm', 'Dhoni', ':', 'tum', 'to', 'paida', 'hi', 'chudne', 'ko', 'hue', 'o', ',', 'chahe', 'match', 'ho', 'ya', 'kargil', 'URL']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', 'IndiaHistorypic', ':', 'Garbhagriha', 'of', 'Ancient', 'Mahakaleshwar', 'Jyotirlinga', ',', 'Ujjain', '#MahaShivratri', 'URL']]","[['O', 'O', 'O', 'O', 'O', 'O', 'B-PLACE', 'I-PLACE', 'O', 'B-PLACE', 'O', 'O']]"
"[['Simply', 'Beautiful', '!', 'kantilo', 'Mahanadi', '#topview', '#mahanadi', '#river', '#trees', '#sky', '#beautifulview', 'URL']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['Aise', 'lag', 'rha', 'hai', 'sabne', 'setting', 'ki', 'hui', 'hai', 'ek', 'ball', 'to', 'khelne', 'do', 'meri', 'batting', 'nhi', 'aayi', '.', 'bhenchod', '!', '#IndvsPak']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['Param', 'Pujye', 'sant', 'Shiri', 'Ashsram', 'g', 'bapu', 'ke', 'swasthye', 'Yash', 'kirti', 'hetu', ',', 'mahashivratri', 'ke', 'avsar', 'per', 'Ludhiana', 'me', '.', 'sadhkon', 'URL']]","[['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PLACE', 'O', 'O', 'O', 'O']]"
"[['Patna', 'Mahashivratri', ' ', '17', 'Feb', '2015', '(', 'MahaShivratri', ') ', 'HAR', 'HAR', 'MAHADEV', 'Today', 'returned', 'Patna', 'from', '.', 'URL']]","[['B-PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-PLACE', 'O', 'O', 'O']]"
"[['RT', '@sandhiriansgrp', ':', 'Remember', 'Guys', 'kalpana', 'chawala', 'first', 'Indian', 'women', 'astronaut', 'who', 'visit', 'space', '1st', 'Feb', 'belongs', 'to', 'her', '@Varsharoy5', 'URL', ': ']]","[['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['@eye nakshiran', 'abhi', 'tak', 'tum', 'think', 'he', 'kar', 'rahi', 'ho', 'naira', 'pe', 'he', 'hogi']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@GoutamRishi', ':', '@akshaysonal', '@arvindkejriwal', '@madhukishwar', '@msisodia', '@irsad555', 'ya', 'Kishwar', 'maam', 'is', 'propagating', '@zeenews']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O']]"
"[['Aaatt', '.', 'Mass', 'ka', 'BAAP', 'URL']]","[['O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@narendramodi', ':', 'I', 'salute', 'Sadanandan', 'Master', '&', 'many', 'others', 'like', 'him', 'who', 'withstood', 'Communist', 'violence', '&', 'continued', 'to', 'serve', 'people', '.', 'URL']]","[['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['PMOIndia', '#UHF', 'RT', 'RailMinIndia', ':', 'Surveillance', 'cameras', 'on', 'select', 'mainline', 'and', 'ladies', 'compartments', '#RailBudget2015', 'Cat', 'URL']]","[['B-ORGANISATION', 'O', 'O', 'B-ORGANISATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@diyainsan', ':', 'Milliins', 'of', 'people', 'had', 'enjiyed', '#PiousBhandara', '&', 'looted', 'the', 'divine', ',', 'spiritual', 'blessings', 'URL']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['Koi', 'faryaad', 'tere', 'dil', 'mein', 'dabi', 'ho', 'jese', 'Tu', 'ne', 'ankhon', 'se', 'koi', 'baat', 'kahi', 'ho', 'jese']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[[""Modi's"", 'degree', 'is', 'not', 'fake', '.', 'Does', 'it', 'matter', ' ? ? ? ', 'Ask', 'Kanhaiya', 'Kumar', '.,', '#KejriwalSaySorry']]","[['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O']]"
"[['Happy', '#Mahashivratri', 'to', 'everyone', '.', 'Jai', 'Mahadev', ',', 'Jai', 'Bholeshankar', ',', 'Jai', 'ho', 'Mahakaal', 'ki', '.']]","[['O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'B-PERSON', 'O', 'O']]"
"[['#YoSoniaSoPoor', 'that', 'soon', 'Rahul', 'Gandhi', 'would', 'empower', 'her', '.', '#IfModiBecomesPM', '#Modi']]","[['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['@FalguniRanpise', 'haan', 'but', 'raman', 'is', 'drunk']]","[['O', 'O', 'O', 'B-PERSON', 'O', 'O']]"
"[['RT', '@ashu3page', ':', 'So', 'well', 'managed', 'this', 'time', '@rvmoorthyhindu', ':', 'second', 'day', 'of', 'janta', 'darbar', 'by', 'Delhi', 'CM', 'Arvind', 'Kejriwal', 'at', 'kaushambi', '.', 'URL']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PLACE', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PLACE', 'O', 'O']]"
"[['RT', '@1ost ', ':', 'Bhout', 'Pareshan', 'Hun', 'Sab', 'Ky', 'Parchy', 'ho', 'rahy', 'Aur', 'Mujh', 'Py', 'Parchy']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['Happy', 'Mahashivratri', 'Jai', 'Bhole', 'Nath', 'Har', 'Har', 'Mahadev', 'DS', '*', 'URL']]","[['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'O']]"
"[['RT', '@Kumar Ke5hav', ':', 'Dekh', 'rahi', 'hai', 'sari', 'duniya', '#ModiScaredOfSonia', '!']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@TheRajKundra', ':', 'Australia', 'walon', 'ko', 'pata', 'nahin', 'hai', ',', 'kitna', 'bhi', 'target', 'ho', ',', 'hum', 'India', 'wale', 'March', 'mahine', 'mein', 'pura', 'kar', 'hi', 'dete', 'hain', '.']]","[['O', 'O', 'O', 'B-PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['Tweet', 'No', ':', '4000', '#', '#MahaShivratri', 'Om', 'Namashivaya', '#Tanjore', '#Lord', 'Shiva', 'URL']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O']]"
"[['#LandAcquisitionBill', 'is', 'good', 'for', ' ? ? ? ', 'AAM', 'Adami', 'Ya', 'Special', 'AAdami', '#LandAcquisitionBill', 'Zameen', 'Wapsi', 'Andolan', '#WhereIsRahul']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['@join2manish', 'Reminds', 'me', 'of', ""'"", 'Rang', 'de', 'tu', 'mohe', 'gerua', ': ) ', ""'""]]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['#ZalmiRocks', 'yahan', 'ek', 'wicket', 'ki', 'zarorat', 'hy']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['#MahaShivratri', 'hiduo', 'ke', 'raja', 'sree', 'ram', 'ji', 'bhi', 'shankar', 'ji', 'ke', 'pukarne', 'se', 'dharti', 'par', 'janm', 'lete', 'he', ',', 'un', 'shankar', 'ke', 'jay', 'ho', '.', 'unko', 'pranam', 'karta', 'hu']]","[['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@nalinisinghtv', ':', 'Renowned', 'Shri', 'Pashupati', 'Nath', 'Temple', 'complex', 'in', 'Kathmandu', 'has', 'sufferred', 'no', 'damage', ',', 'is', 'safe', ',', 'acc', 'to', 'reports', '.']]","[['O', 'O', 'O', 'O', 'B-PLACE', 'I-PLACE', 'I-PLACE', 'I-PLACE', 'O', 'O', 'B-PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@EconomicTimes', ':', 'Rail', 'Minister', 'Suresh', 'Prabhu', 'and', 'MoS', 'Manoj', 'Sinha', 'with', '#RailBudget2015', 'suitcases', 'URL']]","[['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O']]"
"[['#IndvsSA', 'A', '.', 'B', '.', 'De', 'villiers', 'will', 'take', 'revenge', 'from', 'dhawan', '.', 'India', 'waalo', ',', '#patakhe', 'footenge', ' ? ']]","[['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-PLACE', 'O', 'O', 'O', 'O', 'O']]"
"[['@Gurmeetramrahim', '#MSGsalutes', 'We', 'also', 'salute', 'papa', 'ji']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@neeraj raturi', ':', '@aaprohit', '@ArvindKejriwal', 'sir', 'ji', 'apke', 'pass', 'kuch', 'kam', 'nahi', 'kya', ',', 'ap', 'ne', 'vi', 'vat', 'tax', 'kun', 'badhaya', 'hai', 'usko', 'vi', 'waps', 'karo', '.']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['Delhi', 'Cantt', ',', 'Greater', 'Kailash', ',', 'Jangpura', ',', 'malvia', 'nagar', ',', 'patparganj', ',', 'New', 'Delhi', '#DilliAAPki', '#DelhiDecides']]","[['B-PLACE', 'I-PLACE', 'O', 'B-PLACE', 'I-PLACE', 'O', 'B-PLACE', 'O', 'B-PLACE', 'I-PLACE', 'O', 'B-PLACE', 'O', 'B-PLACE', 'I-PLACE', 'O', 'O']]"
"[['RT', '@rameshsrivats', ':', 'Now', ',', 'waiting', 'for', 'Abhijeet', 'to', 'blame', 'those', 'dumb', 'blackbucks', 'for', 'hanging', 'around', 'in', 'the', 'path', 'of', 'a', 'bullet', '.']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['@pacificleo', 'Crafts', 'Museum', '.', 'Bhairon', 'road', '.', 'Delhi', '.']]","[['O', 'B-PLACE', 'I-PLACE', 'O', 'B-PLACE', 'I-PLACE', 'O', 'B-PLACE', 'O']]"
"[['@prek rk', '@sankalparkapoor', 'ok', 'but', 'famous', 'toh', 'main', 'aur', 'katrina', 'hi', 'zyada', 'honge']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O']]"
"[['@justbeauty18', 'Abi', 'koi', 'kasaar', 'baqi', 'hy', ' ? ', ':D']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['@arpitduryodhan', 'Har', 'Har', 'Mahadev', ':) ', 'Happy', 'Mahashivratri', ':) ', 'Om', 'Namah', 'Siva', ':) ', 'URL']]","[['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O']]"
"[['Red faced', 'Kavita', 'Krishnan', '!', '#MahaShivratri', '#BlockBusterMSG', '#RiseAboveRacism', '#', 'Lord', 'Shiva']]","[['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON']]"
"[['RT', 'chiraginsan77', ':', 'RT', 'giftyinsan', ':', 'Thank', 'you', 'so', 'much', 'papa', 'kl', 'apne', 'bahut', 'maza', 'thank', 'you', 'thank', 'you', 'thank', 'you', '#MustWatchMSG', '#BlockBusterMSG']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@OfficeOfRG', ':', 'Will', 'be', 'in', 'Chhattisgarh', 'tomorrow', '14th', 'March', ',', 'to', 'participate', 'in', 'the', 'Girodhpuri', 'Mela', 'and', 'visit', 'the', 'Guru', 'Gaddi', 'Temple']]","[['O', 'O', 'O', 'O', 'O', 'O', 'B-PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PLACE', 'O', 'O', 'O', 'O', 'B-PLACE', 'I-PLACE', 'I-PLACE']]"
"[['Happy', 'Mahashivratri', 'to', 'all', '.', 'Har', 'Har', 'Mahadev', '.', 'Jai', 'Shiv', 'Shankar', '.', 'Om', 'Namah', 'Shivay', '.', 'He', 'is', 'the', 'devo', 'ke', 'dev', 'Mahadev', '.', '#MahaShivratri']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O']]"
"[['Journo', ':', 'How', 'is', '#RailBudget2015', ' ? ', 'Harsha', 'Bhogle', ':', 'The', 'two', 'best', 'Bangladesh', 'batsmen', 'are', 'Mushfiqur', 'Rahim', 'and', 'Shakib', 'al', 'Hasan', '.']]","[['O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'B-PLACE', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O']]"
"[['RT', '@mvmeet', ':', 'Modi', 'forcefully', 'taking', 'away', 'gas', 'cylinder', 'frm', 'a', 'Muslim', 'woman', '&', 'giving', 'to', 'a', 'Hindu', ':', ' ', 'Kejriwal', '#CongTerrorInRajyaSabha', 'URL', '.']]","[['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O']]"
